id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
547916472849145858	thebradellerbe	 diabetic coma 	2014-12-24	0	2				https://twitter.com/thebradellerbe/status/547916472849145858
541439251817058304	atnuoved	 niggas called fat diabetic rt bitchniggaalex rt deargiovonte xbox live niggas disrespectful 	2014-12-06	0	0	@BitchNiggaAlex @DearGiovonte			https://twitter.com/atnuoved/status/541439251817058304
520649668125286400	whodieslimm318	 heading another appointment diabetic lsu health shreveport http instagramcompt _ zun 	2014-10-10	0	0	@LSU	#appointment #diabetic		https://twitter.com/whodieslimm318/status/520649668125286400
517924900909350912	VintageRhi_	 chris_aint_shit cant take new balance diabetic looking shoes seriously frat boys favorite	2014-10-03	1	0	@Chris_Aint_Shit			https://twitter.com/VintageRhi_/status/517924900909350912
517094369346609153	PaigeCox1	 cant drink lot im diabetic nilesmajeste	2014-09-30	1	0	@nilesmajeste			https://twitter.com/PaigeCox1/status/517094369346609153
511722957299662848	deejuiceyrn	 drink much lean diabetic system	2014-09-15	0	0				https://twitter.com/deejuiceyrn/status/511722957299662848
509550408105095168	TheMorganRea	 so diabetic bff twittterlessclinton insulin save youdarealmvp	2014-09-09	0	0		#twittterlessClinton #youdarealMVP		https://twitter.com/TheMorganRea/status/509550408105095168
497224197471342592	ThatGuyPRL	 still remain dog diabetic 	2014-08-06	1	0				https://twitter.com/ThatGuyPRL/status/497224197471342592
483749143039311872	Xx_Nesci	 ok im tickled diabeats lmaooo fuck yall man ima diabetic	2014-06-30	0	0				https://twitter.com/Xx_Nesci/status/483749143039311872
480636595477811200	22DaltonBrown	 friendlyassh le fat girls think theyre thick lol god bless diabetic heart	2014-06-22	0	0	@FriendlyAssh0le			https://twitter.com/22DaltonBrown/status/480636595477811200
478792010628104192	thewisechick	 cummings_connor diabetic father sorry people normal functioning pancreas drank sweet tea p	2014-06-17	0	0	@cummings_connor			https://twitter.com/thewisechick/status/478792010628104192
472221929948987393	Cgordon75	 diabetic packs week trip addiction pictwittercompoiulplum 	2014-05-29	0	1		#addiction		https://twitter.com/Cgordon75/status/472221929948987393
461320034686496768	LizAnn013	 theres one thing ive leaned t diabetic its ppl ask dumb questions it play along its worth	2014-04-29	0	2				https://twitter.com/LizAnn013/status/461320034686496768
458627803328417792	jasonmcaldwell	 im diabetic ad cant help it shit fuck	2014-04-22	0	0				https://twitter.com/jasonmcaldwell/status/458627803328417792
458407852562862080	jasonmcaldwell	 im diabetic stoner plans future judge bitch	2014-04-21	0	0				https://twitter.com/jasonmcaldwell/status/458407852562862080
458360353689042944	Mattieb___	 ebtrenisee oh ok forgot u got diabetic fingers	2014-04-21	0	0	@ebtrenisee			https://twitter.com/Mattieb___/status/458360353689042944
440578707401359360	KallmeJY	 nigga rockin thermal tank top w cargo shorts diabetic socks w timbs on get chips frm store	2014-03-03	0	0				https://twitter.com/KallmeJY/status/440578707401359360
435779758102966272	Bran4Short	 foodbible peanut butter cup brownie bottom cheesecake httpstwittercomfoodbiblestatus photo pictwittercomv wvkyosxi diabetic coma lol	2014-02-18	1	0	@FoodBible			https://twitter.com/Bran4Short/status/435779758102966272
434770623769108481	Cgordon75	 seriously wish wasnt diabetic fuck everything	2014-02-15	0	3				https://twitter.com/Cgordon75/status/434770623769108481
431878224973283328	B_WaRD10	 wit tropical punch kool aid kill diabetic	2014-02-07	0	0				https://twitter.com/B_WaRD10/status/431878224973283328
547916472849145858	thebradellerbe	 diabetic coma 	2014-12-24	0	2				https://twitter.com/thebradellerbe/status/547916472849145858
545723542097383424	Chancemooney	 diabetic shit makes wanna give sometimes	2014-12-18	0	1				https://twitter.com/Chancemooney/status/545723542097383424
545378922930900992	Chancemooney	 really hate fact im diabetic makes feel like im dyin days	2014-12-17	0	1				https://twitter.com/Chancemooney/status/545378922930900992
517924900909350912	VintageRhi_	 chris_aint_shit cant take new balance diabetic looking shoes seriously frat boys favorite	2014-10-03	1	0	@Chris_Aint_Shit			https://twitter.com/VintageRhi_/status/517924900909350912
509550408105095168	TheMorganRea	 so diabetic bff twittterlessclinton insulin save youdarealmvp	2014-09-09	0	0		#twittterlessClinton #youdarealMVP		https://twitter.com/TheMorganRea/status/509550408105095168
506631394085580800	jasonmcaldwell	 almost two years sometimes still forget im diabetic	2014-09-01	0	0				https://twitter.com/jasonmcaldwell/status/506631394085580800
481936187351764992	22DaltonBrown	 friendlyassh le fat girls think theyre thick lol god bless diabetic heart	2014-06-25	0	0	@FriendlyAssh0le			https://twitter.com/22DaltonBrown/status/481936187351764992
