id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
508449677143195648	elenaaabeee	 msuconfess im diabetic boyfriend ruins dinner plans ill refuse eat crash wintershymnal 	2014-09-06	0	0	@MSUconfess @WintersHymnal			https://twitter.com/elenaaabeee/status/508449677143195648
502204665501851650	crunchatimesme	 wish could eat cannoli like normal person without slipping diabetic coma literally diabeticprobssplenda lyfe	2014-08-20	0	0		#diabeticprobs #splenda4lyfe		https://twitter.com/crunchatimesme/status/502204665501851650
480776635390517248	vmdecosmo	 hi id like large iced diabetic coma dunkinprobs	2014-06-22	0	4		#DunkinProbs		https://twitter.com/vmdecosmo/status/480776635390517248
479854820007088128	KKoz03	 mareupiper_ it anemia treatments caused become diabetic again dont want insulin	2014-06-20	0	0	@mareupiper_17			https://twitter.com/KKoz03/status/479854820007088128
458967434679304194	thisunainttaken	 hes fucking professor im sweating like diabetic cheesecake factory daymade newphrasegained	2014-04-23	0	0		#DayMade #NewPhraseGained		https://twitter.com/thisunainttaken/status/458967434679304194
442808131312431104	mandiiannz	 swear mom stays going hospital diabetic sister 	2014-03-09	0	0				https://twitter.com/mandiiannz/status/442808131312431104
440678294389030912	crunchatimesme	 cfoxxyy adorablewords okay pick diabetic	2014-03-03	0	0	@cfoxxyy @AdorableWords			https://twitter.com/crunchatimesme/status/440678294389030912
439452719502602240	__gyvl	 bitch told im borderline diabetic bish whet	2014-02-28	0	0				https://twitter.com/__gyvl/status/439452719502602240
439110479450214400	knockXdown	 guy work diabetic eats mcdonalds everyday tells vegetarian unhealthy ok guy	2014-02-27	0	9				https://twitter.com/knockXdown/status/439110479450214400
426578086315192320	crunchatimesme	 know diabetic crave juice water every minute day	2014-01-23	0	2				https://twitter.com/crunchatimesme/status/426578086315192320
424982742267592704	Buff_Bunnie	 timdrummondcom eatinghealthy plus im type diabetic gotta watch levels carb intake	2014-01-19	0	0	@TimDrummondCom	#eatinghealthy		https://twitter.com/Buff_Bunnie/status/424982742267592704
421100365590048768	huntersalem18	 diabeticben diabetic wrestler earth nicepin clutch	2014-01-08	0	2	@diabeticBEN	#nicepin #clutch		https://twitter.com/huntersalem18/status/421100365590048768
546330872497311745	alexambrosino	 look guy he diabetic im sorry what	2014-12-20	1	10				https://twitter.com/alexambrosino/status/546330872497311745
545641728917909504	SaccManJones	 stephenasmith type one diabetic years much respect bringing educated manner regarding jay cutler	2014-12-18	0	0	@stephenasmith			https://twitter.com/SaccManJones/status/545641728917909504
537640753351385088	MactheHusky	 lwhekk eats spoonfuls sugar washes soda dont tell do goes diabetic shock	2014-11-26	0	0	@lwhekk			https://twitter.com/MactheHusky/status/537640753351385088
536702217882173440	afsharindani	 baking never much sugar afra unless youre diabetic 	2014-11-23	1	5				https://twitter.com/afsharindani/status/536702217882173440
510847610643841024	ashleyyscarlett	 little known fact teddy diabetic	2014-09-13	2	6				https://twitter.com/ashleyyscarlett/status/510847610643841024
499649906341330945	P_Brooks3	 c_benny danielledimezzz hope become diabetic 	2014-08-13	0	2	@C_Benny21 @danielledimezzz			https://twitter.com/P_Brooks3/status/499649906341330945
