id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
545545021055709184	kelseya321	 sitter gives diabetic patient sour patch kids umhello	2014-12-18	0	1		#umhello		https://twitter.com/kelseya321/status/545545021055709184
531287031465648128	TammiStolte	 debbiemooneyham story year especially cold one diabetic candy one	2014-11-08	0	0	@DebbieMooneyham			https://twitter.com/TammiStolte/status/531287031465648128
530172193217318913	ErickaOgle	 diabetic dogtag research	2014-11-05	0	0		#research		https://twitter.com/ErickaOgle/status/530172193217318913
523161074502074369	TheBootheel	 mewould like fresh baked bread diabetic table oh yeah took extra insulin eat more extra butter	2014-10-17	0	0	@table			https://twitter.com/TheBootheel/status/523161074502074369
521419215190781953	loren_sophie	 diabetic liizzyk	2014-10-12	1	1	@LiizzyK			https://twitter.com/loren_sophie/status/521419215190781953
518221492962615296	Tally__Bear	 time diabetic lets take bet blood sugar howyou_doin_	2014-10-03	0	1	@HowYou_Doin_			https://twitter.com/Tally__Bear/status/518221492962615296
514137037705076736	pastoRonM	 say diabetic coma krispy kremes doughnut box http usatly uyie e via usatoday timhawkinscomic sophialmarsh	2014-09-22	0	1	@USATODAY @timhawkinscomic @sophialmarsh			https://twitter.com/pastoRonM/status/514137037705076736
511284870858166273	ASAPrakky	 sick diabetic 	2014-09-14	0	0				https://twitter.com/ASAPrakky/status/511284870858166273
507385380044546049	jonahhirschfeld	 portableshua laughter best medicine unless youre diabetic case insulin slightly beneficial landonlitz	2014-09-04	0	1	@PortableShua @LandonLitz			https://twitter.com/jonahhirschfeld/status/507385380044546049
502376369863790593	McKeypiece	 joey_chapman goodbye fellow diabetic day forever heart good luck college pictwittercomxzfuwwmpie	2014-08-21	0	2	@joey_chapman2			https://twitter.com/McKeypiece/status/502376369863790593
493469083942146051	LaurenNothstine	 ima_ diabetic leave insulin fridge wait ask works pretty well lol	2014-07-27	0	1	@Ima_			https://twitter.com/LaurenNothstine/status/493469083942146051
489558390939455488	JordynNykoleee	 hate diabetic sometimes	2014-07-16	0	0				https://twitter.com/JordynNykoleee/status/489558390939455488
482544872931332096	LuvlieBee	 ups man came morning its like diabetic christmas supplies medtronic willman pond http instagramcomppwj efqifc	2014-06-27	0	0	@Willman	#UPS #diabetic #Christmas #supplies #Medtronic		https://twitter.com/LuvlieBee/status/482544872931332096
477444088870862848	LuvlieBee	 breakfast diabetic donut egg makegoodchoices healthy beproud willman pond http instagramcomppl tehwith	2014-06-13	0	0	@Willman	#breakfast #diabetic #donut #egg #makegoodchoices #healthy #beproud		https://twitter.com/LuvlieBee/status/477444088870862848
477346452545359872	call_me_26	 unlikelyduets sugar were going down fall boy diabetic almcchesney shoutouttodiabetes	2014-06-13	1	2	@UnlikelyDuets @almcchesney1	#ShoutoutToDiabetes		https://twitter.com/call_me_26/status/477346452545359872
476736246010503168	AshleyElizAdams	 im still finding noralouiseee s diabetic testing strips house car hasnt even months	2014-06-11	0	1	@Noralouiseee			https://twitter.com/AshleyElizAdams/status/476736246010503168
