id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
547987950370586624	VivaConAlegria	 diabetic friendly gingerspiced pumpkin pie patients favoritepharmacist happyholidays pictwittercomicqfmur ar	2014-12-25	0	0		#favoritepharmacist #HappyHolidays		https://twitter.com/VivaConAlegria/status/547987950370586624
541362149860589568	BraunConnor	 blaine severe diabetic attack died hes david ellis monument now ddibenedetto_ ifollowmarco pictwittercomfzezkqnkwd	2014-12-06	0	0	@ddibenedetto_ @iFollowMarco			https://twitter.com/BraunConnor/status/541362149860589568
539608128787349505	DaniellaGates	 xbrooke_alexis dont know either ive never diabetic eat	2014-12-01	0	0	@xBrooke_Alexis			https://twitter.com/DaniellaGates/status/539608128787349505
539605764990464000	carlcaster16	 retweets homegirl stop diabetic helpthecause jaqtac	2014-12-01	7	6	@jaqtac	#helpthecause		https://twitter.com/carlcaster16/status/539605764990464000
536276589450121216	MartaMarkowski	 uberfacts people drink several cups coffee day r least likely become diabetic nikitarrrrr lindseeey_tess chrisrose 	2014-11-22	0	1	@UberFacts @nikitarrrrr @lindseeey_tess @ChrisRose910			https://twitter.com/MartaMarkowski/status/536276589450121216
531831331341475841	joedamoree	 manage eat healthier week without reaching hypoglycemia stay tuned diabetic adventures	2014-11-10	0	0				https://twitter.com/joedamoree/status/531831331341475841
529055185822572545	coachchrishobbs	 chapy u start sorting clips krossovr according stats ur gonna go coach equiv diabetic shock statsod	2014-11-02	3	3	@chapy22 @Krossovr	#StatsOD		https://twitter.com/coachchrishobbs/status/529055185822572545
526222483356418048	oliviacphillips	 like kidding me diabetic pictwittercomgqesqs xcw	2014-10-26	0	6				https://twitter.com/oliviacphillips/status/526222483356418048
524551429537943552	onojo45	 diabetic check simon flybynight blue cross dog cat hospital paterson nj httpswww swarmappcomclnz thui 	2014-10-21	0	0	@flybynight1127 @Blue			https://twitter.com/onojo45/status/524551429537943552
520702926382436352	OG_SavagePopsit	 shawnredwar_ youre become diabetic	2014-10-10	0	0	@ShawnRedwar_			https://twitter.com/OG_SavagePopsit/status/520702926382436352
519570650797989888	onojo45	 simon diabetic blue cross dog cat hospital paterson nj httpswww swarmappcomc sk zyusyn 	2014-10-07	0	0	@Blue			https://twitter.com/onojo45/status/519570650797989888
519109069437927425	fronto9	 im bad diabetic its obvious doctor hates	2014-10-06	1	1				https://twitter.com/fronto9/status/519109069437927425
518644931133726720	Imnot_a_Rapper	 trays bread pudding fridge go diabetic coma	2014-10-05	0	0				https://twitter.com/Imnot_a_Rapper/status/518644931133726720
518254715143208961	b__mula	 kardashianreact still call sugar daddy hes diabetic pictwittercomfnb td drf omg	2014-10-04	0	3	@KardashianReact			https://twitter.com/b__mula/status/518254715143208961
516670077358592000	Surf_TheLegend	 wasnt diabetic would zebra cakes bed safe cause bxches love stealing black white things	2014-09-29	0	0				https://twitter.com/Surf_TheLegend/status/516670077358592000
516055520999129088	DrJ_EFC_FAN	 just_float nathanewilson senator fedupmovie yep someone elevate sugar levels ie pre diabetic quite disturbing	2014-09-27	0	1	@just_float @nathanewilson @Senator48 @fedupmovie			https://twitter.com/DrJ_EFC_FAN/status/516055520999129088
515371649424965632	JoeMichaell_	 tbt tan california didnt know diabetic yet pictwittercomw gjtqzzm	2014-09-26	0	0		#tbt		https://twitter.com/JoeMichaell_/status/515371649424965632
515136089942929408	IndivasSujatha	 glenmarks trpa antagonist shows promise phase trial diabetic neuropathy http shares addia	2014-09-25	0	0				https://twitter.com/IndivasSujatha/status/515136089942929408
513069062503813120	DanxSchultz	 uncle use make fun diabetic is karma bitch fucker	2014-09-19	1	7				https://twitter.com/DanxSchultz/status/513069062503813120
511320942191337472	Punkinpie143	 miss idaho way gotta send fellow diabetic rock pump girl missamerica missidaho loveadiabetic	2014-09-14	3	5		#MissAmerica #MissIdaho #LoveADiabetic		https://twitter.com/Punkinpie143/status/511320942191337472
510463112315932672	AccessTheMind	 horse diabetic 	2014-09-12	0	1				https://twitter.com/AccessTheMind/status/510463112315932672
506951196444471296	billreines	 r thaizay plrgnsbrg yeah diabetis	2014-09-02	0	0	@r2thaizay @plrgnsbrg			https://twitter.com/billreines/status/506951196444471296
506876318718623744	PhilRudd_	 knowing working nonstop wont shit meds gave metabolism year old diabetic obese woman	2014-09-02	0	0				https://twitter.com/PhilRudd_/status/506876318718623744
506321094727720961	Donut_Slut	 taylorcaniff wanna fight tiger slow sugar im diabetic	2014-09-01	0	0	@taylorcaniff			https://twitter.com/Donut_Slut/status/506321094727720961
506172356843540481	JoeMichaell_	 r_x_g find out let diabetic brotha know	2014-08-31	0	1	@r_x_g			https://twitter.com/JoeMichaell_/status/506172356843540481
505862867217027073	JoeMichaell_	 love drinking love sweets im wrong person become diabetic fuck	2014-08-30	0	2				https://twitter.com/JoeMichaell_/status/505862867217027073
504644695960854528	H3llzWindStaff	 diabetic keptic im host lock vanilla suede british staten island mall menace otherwise posing dentist lenses	2014-08-27	0	0				https://twitter.com/H3llzWindStaff/status/504644695960854528
503222959734280192	shanselman	 badmark its sugar free im diabetic 	2014-08-23	0	1	@bAdmArk			https://twitter.com/shanselman/status/503222959734280192
502449959233667073	GhostDanLT	 br_tal_ty menolly diabetic would like bracelet says dont shoot	2014-08-21	0	0	@br_tal_ty @Menolly07			https://twitter.com/GhostDanLT/status/502449959233667073
500312099349098496	MM41380	 lochlynmunro informative showing dad hes diabetic hell find approval doctor could take it	2014-08-15	0	0	@LochlynMunro			https://twitter.com/MM41380/status/500312099349098496
497226736225230849	Girardix3	 wish diabetic friends	2014-08-06	0	0				https://twitter.com/Girardix3/status/497226736225230849
495291039314636800	hoalii	 diabetic dog ate pixi stix worstbabysitterever	2014-08-01	0	3		#worstbabysitterever		https://twitter.com/hoalii/status/495291039314636800
491610781889597440	kellyystites	 jusjus jonny would go diabetic shock imagine ate those	2014-07-22	0	1	@JusJus0312			https://twitter.com/kellyystites/status/491610781889597440
482291219499069441	AsianEmperor21	 reflexes diabetic turtle	2014-06-26	0	0				https://twitter.com/AsianEmperor21/status/482291219499069441
480326172510003201	kimlesno	 stuff smells like someone put diabetic foot sandwich left sun whosaidit mpgis pictwittercomceqhpzoybt	2014-06-21	0	0		#whosaidit #mpgis		https://twitter.com/kimlesno/status/480326172510003201
477493252656881664	apearz04	 diet coke pussies ashley hes diabetic brieschwab lukechel	2014-06-13	1	2	@brieschwab @lukechel			https://twitter.com/apearz04/status/477493252656881664
476958471179755521	Gordo__world	 krilluminaughtyi aint diabetic dont push me revenge like sweetest joy next eating cookies httpstwittercomkrilluminaughtystatus photo pictwittercom owyia mjo 	2014-06-12	4	1	@Krilluminaughty			https://twitter.com/Gordo__world/status/476958471179755521
476035637259550720	GabbyEhling	 diabetic grandma asked get cinnamon donut bc cinnamon good diabeticsand donuts	2014-06-09	0	2				https://twitter.com/GabbyEhling/status/476035637259550720
472923464949833729	dkuzam	 fact parents great pastry chefs father diabetic make bodybuilding career much ironic	2014-05-31	1	1		#bodybuilding		https://twitter.com/dkuzam/status/472923464949833729
472875228801273857	bwoersch	 sarah im becoming diabetic moment me yea okay bitch smackey 	2014-05-31	1	0	@smackey987			https://twitter.com/bwoersch/status/472875228801273857
466370016599089153	kyler413	 theres enough eye candy send diabetic shock	2014-05-13	0	2				https://twitter.com/kyler413/status/466370016599089153
464537924995129344	dstefanelli95	 diabetic amy getting cookies tonight	2014-05-08	0	1				https://twitter.com/dstefanelli95/status/464537924995129344
457930515329605632	dyndaaaa_	 sitting next table every type easter candy might mess around become diabetic tonight	2014-04-20	0	1				https://twitter.com/dyndaaaa_/status/457930515329605632
454342430280908800	Its_a_GEE_thing	 swear training new guy death me diabetic wasnt bad enough	2014-04-10	0	0				https://twitter.com/Its_a_GEE_thing/status/454342430280908800
452802250449371136	Whitebxy_K	 health insurance diabetic hell	2014-04-06	0	0				https://twitter.com/Whitebxy_K/status/452802250449371136
452052839809175552	WorthyOfLove_x3	 absurdism_ lmfao its nigga cant tell looking im diabetic	2014-04-04	0	0	@Absurdism_			https://twitter.com/WorthyOfLove_x3/status/452052839809175552
450241474287108096	bowess65	 get diabetic dog eat diabetes pets	2014-03-30	1	0		#diabetes #pets		https://twitter.com/bowess65/status/450241474287108096
449687437116452864	Surf_TheLegend	 louieebk_ rt surf_thelegend somebody said look like diabetic tarzan	2014-03-28	0	0	@LouieEBK_ @Surf_TheLegend			https://twitter.com/Surf_TheLegend/status/449687437116452864
449686712630124544	Surf_TheLegend	 somebody said look like diabetic tarzan	2014-03-28	0	0				https://twitter.com/Surf_TheLegend/status/449686712630124544
447875905407680512	_breeashley	 ive way much sugar today keep forgetting im diabetic lol	2014-03-23	0	0				https://twitter.com/_breeashley/status/447875905407680512
441325761543540737	Girardix3	 mom yelled didnt know buy type diabetic grandpa	2014-03-05	0	0				https://twitter.com/Girardix3/status/441325761543540737
440543170284519424	airgraphics	 boys oldest diabetic the middle super premiee youngest a http instagramcomplfttesidk	2014-03-03	0	0				https://twitter.com/airgraphics/status/440543170284519424
432563042191429632	Its_a_GEE_thing	 swear girl forgets im diabetic lol	2014-02-09	0	0				https://twitter.com/Its_a_GEE_thing/status/432563042191429632
432142687740116992	lrose_rn	 trying explain insulin diabetic diets mom	2014-02-08	0	0				https://twitter.com/lrose_rn/status/432142687740116992
427474668321538048	Girardix3	 frankiero yes great day future diabetic frnk rt tonyburkejnr frankiero them pictwittercomkwlkuqv jc 	2014-01-26	0	0	@FrankIero @tonyburkejnr @FrankIero			https://twitter.com/Girardix3/status/427474668321538048
427095045855268864	Bschaef_	 definitely became diabetic drinking margaritas last night livefast dieyoung badbitchesdoitwell	2014-01-25	0	7		#livefast #dieyoung #badbitchesdoitwell		https://twitter.com/Bschaef_/status/427095045855268864
