id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
549271541289345025	Betz_DGAF	 manner inhaled orange really ugly diabetic problems	2014-12-28	0	0				https://twitter.com/Betz_DGAF/status/549271541289345025
544289101835673602	ovas14	 depressed about makes sense what diabetic about	2014-12-14	0	1				https://twitter.com/ovas14/status/544289101835673602
543868365975343104	yumdiabeetus	 codydiller tell hayley dont hate her diabetic like tacos all	2014-12-13	0	0	@CodyDiller			https://twitter.com/yumdiabeetus/status/543868365975343104
543042389548761088	diabetic_tae	 matthew blessed peacemakers shall called sons god	2014-12-11	0	0				https://twitter.com/diabetic_tae/status/543042389548761088
542835775860400129	diabetic_tae	 listening pandora makes realize much great music lost hard drive ipod went	2014-12-10	0	0				https://twitter.com/diabetic_tae/status/542835775860400129
542726052486082561	diabetic_tae	 _iamunique nobody likes	2014-12-10	0	0	@_iAmUnique			https://twitter.com/diabetic_tae/status/542726052486082561
542723039423897600	diabetic_tae	 worked last shift nelson	2014-12-10	1	5				https://twitter.com/diabetic_tae/status/542723039423897600
542367186694967296	diabetic_tae	 media know damian lillard wore shirt first	2014-12-09	0	0				https://twitter.com/diabetic_tae/status/542367186694967296
541780149621252096	diabetic_tae	 proverbs 	2014-12-07	0	0				https://twitter.com/diabetic_tae/status/541780149621252096
541687190120837120	diabetic_tae	 lockdown lake lotl cleveland believeland bifc	2014-12-07	1	0		#LOTL #Cleveland #Believeland #BIFC		https://twitter.com/diabetic_tae/status/541687190120837120
541602192650944513	diabetic_tae	 hebrews let us confidence draw near throne grace may receive mercy find grace help time need	2014-12-07	0	0				https://twitter.com/diabetic_tae/status/541602192650944513
541076753008324609	nancypantss	 ready give life bc even try good diabetic cant control shit im prepared lose limb whatever	2014-12-05	0	0				https://twitter.com/nancypantss/status/541076753008324609
540875297475022848	diabetic_tae	 proverbs whoever slow anger better mighty rules spirit takes city	2014-12-05	0	0				https://twitter.com/diabetic_tae/status/540875297475022848
540722143068430336	OhhHeyyHannahh	 diabetic means stepping random needles laying around room diabeticprobs	2014-12-04	0	3		#diabeticprobs		https://twitter.com/OhhHeyyHannahh/status/540722143068430336
540703342016872449	diabetic_tae	 varejao	2014-12-04	1	0				https://twitter.com/diabetic_tae/status/540703342016872449
540575457993711616	Johnson1980Aj	 someone asked going nashville said see post food time trying become diabetic jackass	2014-12-04	0	1		#jackass		https://twitter.com/Johnson1980Aj/status/540575457993711616
540222411434893312	diabetic_tae	 features executive produced coleworld foresthilldrive classicsonly	2014-12-03	0	0		#ColeWorld #2014ForestHillDrive #ClassicsOnly		https://twitter.com/diabetic_tae/status/540222411434893312
540136297227362304	diabetic_tae	 amirrormurders shehithighnotes yeah know its cut im get	2014-12-03	0	0	@AMirrorMurders @SheHitHighNotes			https://twitter.com/diabetic_tae/status/540136297227362304
540135959011291136	diabetic_tae	 amirrormurders shehithighnotes im trying hardest get lol	2014-12-03	0	0	@AMirrorMurders @SheHitHighNotes			https://twitter.com/diabetic_tae/status/540135959011291136
