id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
549617836184719361	maguilar20	 freebyrd know wifes like boy type one diabetic since 	2014-12-29	0	1	@freebyrd55			https://twitter.com/maguilar20/status/549617836184719361
542697810765049856	KingCapitalKyle	 oatmeal taste like diabetic pussy	2014-12-10	1	0				https://twitter.com/KingCapitalKyle/status/542697810765049856
539471912850972672	hazymrpurp	 please pray lil sis shes st francis hospital keto acidosisshes type diabetic makes worse	2014-12-01	0	4				https://twitter.com/hazymrpurp/status/539471912850972672
537815586638925825	Alfred9884Va	 paula_deen tweet diabetic recipe	2014-11-26	0	0	@Paula_Deen			https://twitter.com/Alfred9884Va/status/537815586638925825
537698705881960449	elliottcockrum	 im diabetic savaa elliottcockrum get eat lot yummy food tomorrow	2014-11-26	0	1	@savaa27 @elliottcockrum			https://twitter.com/elliottcockrum/status/537698705881960449
534142597624000512	workingdonotpet	 another great diabetic alert dog match feel blessed able deliver amazing dogs amazing families pictwittercomymi nuc x 	2014-11-16	0	1				https://twitter.com/workingdonotpet/status/534142597624000512
530473822714359809	kaysanders61	 elliesangelwing aattimothy grigsby_david sunitabih cstcorazon candidsoullegna drkimrx well diabetic try stay away frm sweets	2014-11-06	2	3	@elliesangelwing @AatTimothy @grigsby_david @Sunitabih @cstcorazon @CandidSoulLegna @DrKimRx			https://twitter.com/kaysanders61/status/530473822714359809
529676819025657856	lindseyleewebb	 grantaugustini get excericse day chewing food diabetic thing say	2014-11-04	1	1	@GrantAugustini			https://twitter.com/lindseyleewebb/status/529676819025657856
528608874656727041	Ladybev4okc	 sugabeticme thanks diabetic since 	2014-11-01	0	0	@sugabeticme			https://twitter.com/Ladybev4okc/status/528608874656727041
527837365549932544	EmbarkOK	 okcindianclinic providing blood pressure checks diabetic risk assessments p transit center pictwittercomnfjqyrkafg	2014-10-30	1	1	@OKCIndianClinic			https://twitter.com/EmbarkOK/status/527837365549932544
525031376840433664	maggiedrysch	 funny story im diabetic hate shots could say im really freaking flu shot right	2014-10-22	0	7				https://twitter.com/maggiedrysch/status/525031376840433664
516806342976479232	NutBuster2017	 sweet tea like mine everybody elses either induce diabetic coma tastes like caffinated water	2014-09-30	0	0				https://twitter.com/NutBuster2017/status/516806342976479232
