id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
524350556073365504	alldaychiefing	 thanks god im diabetic	2014-10-20	0	1				https://twitter.com/alldaychiefing/status/524350556073365504
508700838479814656	ABurgos56	 willy wonka really want diabetic pictwittercomfyanmly lq	2014-09-07	0	1				https://twitter.com/ABurgos56/status/508700838479814656
501684526184419328	namarslo	 tengo rasgos de diabetis	2014-08-19	0	0				https://twitter.com/namarslo/status/501684526184419328
495003473164128256	ulrichpr	 scientists regenerate insulinproducing cells diabetic mice via ajam http aljam u xo z	2014-07-31	0	2	@AJAM			https://twitter.com/ulrichpr/status/495003473164128256
465111378009673728	Crxsu	 si eres diabetic anda con comida	2014-05-10	0	0	@anda			https://twitter.com/Crxsu/status/465111378009673728
447483093168173056	dnegronreich	 mcwatwithfries favorite diabetic anda pal	2014-03-22	0	1	@mcwatwithfries			https://twitter.com/dnegronreich/status/447483093168173056
445096661292183552	crisliee	 charl_ ya que es mi cuenta con la foto de jaime love like lispy diabetic needs inthulin	2014-03-16	0	0	@charl_39			https://twitter.com/crisliee/status/445096661292183552
441020784241569792	_melolai	 slow sugar im diabetic	2014-03-04	0	0				https://twitter.com/_melolai/status/441020784241569792
431009525970526209	HyrulianWarrior	 riding get driving legs wont last forever youre diabetic 	2014-02-05	0	0				https://twitter.com/HyrulianWarrior/status/431009525970526209
419167398663835648	_BabyXiaoLu	 could prediabetic diabetic	2014-01-03	0	0				https://twitter.com/_BabyXiaoLu/status/419167398663835648
