id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink	True Positive	False Positive	isClean
1.71802558522863E+017	sabybaby155	 turrenccy mertom candy gives cancer	2/20/2012	0	0	@Turrenccy @mertom5			https://twitter.com/sabybaby155/status/171802558522863616	1	0	1
2.31559357781917E+017	michelley19x	 first songsonshuffle cancer chemical romance	8/3/2012	0	0		#First20SongsOnShuffle		https://twitter.com/michelley19x/status/231559357781917696	0	1	-1
3.48932582207008E+017	Bama2k16	 cancerareus cancer s creativert	6/23/2013	0	0	@CancerAreUs	#Cancer		https://twitter.com/Bama2k16/status/348932582207008769	0	1	-1
4.30519550291886E+017	kwondabear	 met new coworker tells cancer doesnt much life left shes tells beautiful soul cried	2/3/2014	0	9				https://twitter.com/kwondabear/status/430519550291886080	1	0	1
4.59544271146606E+017	larryjl77	 old room first time stjosephcancer pictwittercomunooce oaf	4/25/2014	0	0		#stjoseph #Cancer		https://twitter.com/larryjl77/status/459544271146606592	1	0	1
3.46331858902056E+017	henryrussaw	 rape period abuses abortion pregnancy harassment breast cancer being walked being cheated females go lot respect	6/16/2013	0	1				https://twitter.com/henryrussaw/status/346331858902056960	0	1	-1
3.25348686949392E+017	Hungryhund	 jeff kennedy video stuff cancer relay races http sqcomz u od	4/19/2013	0	0				https://twitter.com/Hungryhund/status/325348686949392384	1	0	1
3.98625820802961E+017	jayhinz	 know sure cancer sucks mama_aubs way shape me im going sore tomorrow kickitforcancer	11/7/2013	0	1	@Mama_Aubs	#kickitforcancer		https://twitter.com/jayhinz/status/398625820802961408	1	0	1
9.87970519276339E+015	24083	 fund helps woman rebound cancer httpbitlygxywdi via httpoutsidein 	12/1/2010	0	0				https://twitter.com/24083/status/9879705192763392	1	0	1
2.29039828514258E+017	IRA_Darth_Aggie	 what really lesigh rt tamuequipment btho breast cancer http ptwimgcomay ycrqciaapsr hjpg 	7/27/2012	0	0	@TAMUequipment	#LeSigh		https://twitter.com/IRA_Darth_Aggie/status/229039828514258944	1	0	1
1.37012539644063E+017	kaeLkae	 im cancer complicated individualds 	11/16/2011	0	0		#Cancer		https://twitter.com/kaeLkae/status/137012539644063746	0	1	-1
3.39634094570885E+017	JSmoove715	 bestofcancer cancer outlook life supportive caring positive	5/29/2013	0	0	@BestofCancer	#Cancer		https://twitter.com/JSmoove715/status/339634094570885120	0	1	-1
18336291959	16828	 centre hall cancer survivors relay cure httpbitly pkbwv via httpoutsidein 	7/12/2010	0	0				https://twitter.com/16828/status/18336291959	1	0	1
5.27581680916512E+017	Si_Cave	 researchers genetically engineered stem cells make secrete toxins kill cancerous brain cells pictwittercomtxhltjntkj	10/29/2014	0	4				https://twitter.com/Si_Cave/status/527581680916512768	1	0	1
8.12208109326172E+016	PauljGarth	 jay leno literally made cancer 	6/16/2011	1	1				https://twitter.com/PauljGarth/status/81220810932617216	0	1	-1
1.54920618599464E+016	digitalopsguy	 posted pic ha dermatology skin cancer center httppicplzcomzg b	12/16/2010	0	0	@HA			https://twitter.com/digitalopsguy/status/15492061859946496	0	1	-1
5.18165835672592E+017	1065Logan	 helping raise money breast cancer awareness tonight houseorock artwalkcc _theshark pictwittercomvp wuznurm	10/3/2014	2	0	@houseorock @artwalkcc @1065_TheShark			https://twitter.com/1065Logan/status/518165835672592384	1	0	1
3.85030875546931E+017	Mac_Daddy40	 breast cancer awareness month starts today everybody knows	10/1/2013	0	0				https://twitter.com/Mac_Daddy40/status/385030875546931200	1	0	1
2.89174877095731E+017	haileeoporter	 as cancer shut people completely hurt feelings	1/9/2013	0	0				https://twitter.com/haileeoporter/status/289174877095731200	0	1	-1
4.14147896750399E+017	mexlogan101	 imma cancer bag almost gone thebk 	12/20/2013	0	0	@thebk28			https://twitter.com/mexlogan101/status/414147896750399488	1	0	1
4.70630476986994E+017	YASSITSNALLELY	 wefindkidrauhl hey please tweet pleaseprayforeden help little girl named eden cancer meet idol justin bieber	5/25/2014	2	0	@wefindkidrauhl	#PleasePrayForEden		https://twitter.com/YASSITSNALLELY/status/470630476986994688	1	0	1
2.08321357358956E+017	SamuelRoblesJr	 signed workshop preventing cancer developing lake nona family chiropractic http sqcomn nmld	5/31/2012	0	0	@Lake			https://twitter.com/SamuelRoblesJr/status/208321357358956544	1	0	1
4.18899945932869E+017	FATIIIMANAQVIII	 cancer _hc cancer woman love protected strong male yessssss	1/2/2014	0	0	@Cancer	#Cancer		https://twitter.com/FATIIIMANAQVIII/status/418899945932869633	0	1	-1
3.10400131319087E+017	NoelSarah	 ran charitymiles su c feastongood sxsw challenge every mile helps cure cancer socialgood gxg letsturnitup	3/9/2013	0	0	@CharityMiles @SU2C @feastongood	#SXSW2013 #cancer #socialgood #GXG #letsturnitup		https://twitter.com/NoelSarah/status/310400131319087104	1	0	1
2.88834689576366E+017	jmertes_2	 cpotter oh yeah forgot thats good dont cancer tho	1/8/2013	0	1	@cpotter14			https://twitter.com/jmertes_2/status/288834689576366080	0	1	-1
5.48400203007807E+017	JKatzaman	 cancer treatment centers select patients healthinsurance medicare httpwww fayobservercomnewslive_wire cancertreatmentcentersselectpatientsarticle_af ca a aca aa debachtmlvj gxro hl twitter 	12/26/2014	0	0		#Cancer #HealthInsurance #Medicare #		https://twitter.com/JKatzaman/status/548400203007807488	1	0	1
4.40917312590192E+017	TassARoniComedy	 eifrrw eifrevlonrw_la scdcfc may scdcfc family revlonrun fight cancer runasateam letsdothis 	3/4/2014	3	0	@EIFRRW @EIFRevlonRW_LA @SCDCFC	#RunAsATeam #LetsDoThis #		https://twitter.com/TassARoniComedy/status/440917312590192640	1	0	1
1.09503764699942E+017	LitaSonrisa	 true xstrology cancer scorpio pisces water signs zodiac romance communication trademark	9/2/2011	0	0	@XSTROLOGY	#Cancer #Scorpio #Pisces		https://twitter.com/LitaSonrisa/status/109503764699942912	0	1	-1
4.32367627395006E+017	HannahElizaNoel	 so aunt diagnosed rectal cancer goes week figure start rad therapy chemo	2/8/2014	0	0				https://twitter.com/HannahElizaNoel/status/432367627395006464	1	0	1
29539739849	xo_Bronze_ox	 rt zodiacfacts zodiacfacts cancer understand shades peoples needs much so youre cont httptlgd piron	11/3/2010	0	0	@ZodiacFacts	#ZodiacFacts #Cancer		https://twitter.com/xo_Bronze_ox/status/29539739849	0	1	-1
1.87774562904182E+017	38106	 rep todd announces cancer keeps treatment bill alive http bitlyhargbi	4/5/2012	0	0				https://twitter.com/38106/status/187774562904182785	1	0	1
5.35944433221783E+017	TimTtaylor0440	 wonder much longer planet sustain life cant cure cancer uncle dying build space stations	11/21/2014	0	0				https://twitter.com/TimTtaylor0440/status/535944433221783552	1	0	1
4.81704076054405E+016	herbzoota	 team training triathlon team kickoff want help fight cancer go to httpcurecancerherbzootacom	3/16/2011	0	0				https://twitter.com/herbzoota/status/48170407605440512	1	0	1
5.17458829869449E+017	raanndiiii	 breast cancer awareness month keep breast cancer thoughts month long support them 	10/1/2014	1	0				https://twitter.com/raanndiiii/status/517458829869449216	1	0	1
1.25196324076392E+017	52338	 one entry zeta tau alphas k breast cancer awareness education up val http bitlynniluz 	10/15/2011	0	0				https://twitter.com/52338/status/125196324076392448	1	0	1
4.46626090757283E+017	whoisamanda_b	 scorpioareus cancer scorpio imjustsaying	3/20/2014	0	0	@ScorpioAreUs	#Scorpio #ImJustSaying		https://twitter.com/whoisamanda_b/status/446626090757283840	0	1	-1
4.08172046796218E+017	EvieRulez	 dunkindonuts mydunkin making strides breast cancer took nd place raising st year pictwittercompshkl knof	12/4/2013	0	0	@DunkinDonuts	#mydunkin		https://twitter.com/EvieRulez/status/408172046796218368	1	0	1
4.35988789409091E+017	Big_Spence_Ham	 mamma left first think morning doctor appointment morning hoping praying cancer longer there	2/18/2014	0	4				https://twitter.com/Big_Spence_Ham/status/435988789409091584	1	0	1
3.92528705567735E+017	Anisocytosis	 interesting makes sense far cancer concerned scientists discover dna body clock http gucomp jyaq	10/22/2013	0	0				https://twitter.com/Anisocytosis/status/392528705567735808	1	0	1
5.20439599211229E+017	jeanettepootmay	 buenavista_omsd reminder wear pink tomorrow support breast cancer awesome breastcancerawareness	10/10/2014	0	1	@Buenavista_OMSD	#BreastCancerAwareness		https://twitter.com/jeanettepootmay/status/520439599211229184	1	0	1
2.64156797613518E+017	CallMe_Trizzy_	 want pink foamposites bad man would look cold breast cancer awareness month real talk	11/1/2012	0	0				https://twitter.com/CallMe_Trizzy_/status/264156797613518848	1	0	1
5.40974508442931E+017	dagnyshrugs	 prototype custom order childrens cancer hospital wants blue yellow kite ornaments for http instagramcompwpulrrr wj	12/5/2014	0	0				https://twitter.com/dagnyshrugs/status/540974508442931200	1	0	1
5.1148247015256E+017	EddieMc1681	 ivig therapy come mvh south comprehensive cancer center centerville oh httpswww swarmappcomeddiemc ch eckin d ca eb fd sl iuqsl wkh pnzlomjnfkpstsreftw 	9/15/2014	0	0	@MVH			https://twitter.com/EddieMc1681/status/511482470152560640	0	1	-1
5.01956502995734E+017	xo_kaylaaa_	 i hate cancer	8/20/2014	0	2				https://twitter.com/xo_kaylaaa_/status/501956502995734528	1	0	1
5.14864703160721E+017	amberlynn_20	 cancer tragedies hit small town hard lately	9/24/2014	0	0				https://twitter.com/amberlynn_20/status/514864703160721410	1	0	1
